geneID	x	y	MIDCounts
0610010F05Rik	604	743	1
0610010F05Rik	236	825	1
0610010F05Rik	1115	815	2
0610010F05Rik	1049	363	1
0610010F05Rik	102	1117	3
0610010F05Rik	137	932	1
0610010F05Rik	1118	347	1
0610010K14Rik	156	822	4
0610010K14Rik	712	448	2
0610010K14Rik	263	145	2
0610010K14Rik	941	197	1
0610010K14Rik	715	341	1
0610010K14Rik	70	1045	1
0610010K14Rik	484	1068	1
0610010K14Rik	1140	538	1
0610010K14Rik	114	1068	1
0610010K14Rik	97	175	4
0610010K14Rik	304	420	1
0610010K14Rik	204	880	1
0610010K14Rik	349	312	1
0610010K14Rik	1184	968	3
0610010K14Rik	868	267	3
0610010K14Rik	74	812	2
0610010K14Rik	609	57	2
0610010K14Rik	1075	883	1
0610010K14Rik	116	770	2
0610010K14Rik	648	375	2
0610010K14Rik	740	479	3
0610010K14Rik	1051	1094	1
0610010K14Rik	472	1194	1
0610010K14Rik	857	1134	1
0610010K14Rik	1177	283	1
0610010K14Rik	393	160	2
0610010K14Rik	518	937	1
0610010K14Rik	1070	52	3
0610010K14Rik	969	14	2
0610010K14Rik	493	982	1
0610010K14Rik	286	1080	1
0610010K14Rik	524	251	1
0610010K14Rik	211	441	4
0610010K14Rik	85	1109	3
0610010K14Rik	836	311	3
0610010K14Rik	234	619	1
0610010K14Rik	253	1141	3
0610010K14Rik	630	219	2
0610010K14Rik	116	951	4
0610010K14Rik	704	426	3
0610010K14Rik	270	682	3
0610010K14Rik	16	579	1
0610010K14Rik	915	102	4
0610010K14Rik	934	462	2
0610010K14Rik	186	873	1
0610010K14Rik	288	642	3
0610010K14Rik	368	838	4
0610010K14Rik	156	895	1
0610010K14Rik	207	876	2
0610010K14Rik	159	137	3
0610010K14Rik	299	104	2
0610010K14Rik	381	881	2
0610010K14Rik	69	1012	3
0610010K14Rik	868	436	1
0610010K14Rik	466	1111	1
0610010K14Rik	506	1009	3
0610010K14Rik	209	873	1
0610010K14Rik	421	390	3
0610010K14Rik	17	1157	3
0610010K14Rik	847	50	1
0610010K14Rik	1162	463	1
0610010K14Rik	545	954	3
0610010K14Rik	396	1005	3
0610010K14Rik	937	1026	3
0610010K14Rik	1006	827	1
0610010K14Rik	47	630	1
0610010K14Rik	924	621	1
0610010K14Rik	1090	469	2
0610010K14Rik	127	841	2
0610010K14Rik	372	201	1
0610010K14Rik	333	201	1
0610012G03Rik	82	1167	1
0610012G03Rik	166	1023	1
0610012G03Rik	1155	830	1
0610012G03Rik	941	830	1
0610012G03Rik	867	834	1
0610012G03Rik	111	537	1
0610012G03Rik	358	111	1
0610012G03Rik	899	32	1
0610012G03Rik	492	238	2
0610012G03Rik	198	761	2
0610012G03Rik	370	916	1
0610012G03Rik	516	870	1
0610012G03Rik	253	900	3
0610012G03Rik	401	103	4
0610012G03Rik	304	286	2
0610012G03Rik	605	906	2
0610012G03Rik	97	1112	1
0610012G03Rik	143	702	3
0610012G03Rik	2	1067	1
0610012G03Rik	269	381	1
0610012G03Rik	843	76	2
0610012G03Rik	824	225	1
0610012G03Rik	603	226	1
0610012G03Rik	751	572	1
0610012G03Rik	397	226	2
0610012G03Rik	364	195	1
0610012G03Rik	383	323	1
0610012G03Rik	642	1143	1
0610012G03Rik	306	20	2
0610012G03Rik	223	630	1
0610012G03Rik	1104	983	3
0610012G03Rik	387	1107	4
0610012G03Rik	332	546	1
0610012G03Rik	271	805	2
0610012G03Rik	238	1117	4
0610012G03Rik	160	766	1
0610012G03Rik	953	743	1
0610012G03Rik	806	246	1
0610012G03Rik	222	918	3
0610012G03Rik	513	90	1
0610012G03Rik	182	1100	1
0610012G03Rik	838	268	1
