geneID	x	y	MIDCounts
0610009B22Rik	12119	12451	1
0610009B22Rik	8881	10959	1
0610009B22Rik	10908	11894	1
0610009B22Rik	10009	9075	3
0610009B22Rik	8692	10817	3
0610009B22Rik	7347	17099	3
0610009B22Rik	6048	17002	2
0610009B22Rik	9261	16874	3
0610009B22Rik	6533	7917	4
0610009B22Rik	7915	18154	2
0610009B22Rik	11701	14567	2
0610009B22Rik	9037	17380	1
0610009B22Rik	9929	15797	2
0610009B22Rik	6856	17674	2
0610009B22Rik	8929	12475	1
0610009B22Rik	6907	7030	1
0610009B22Rik	11691	15419	3
0610009B22Rik	10855	16213	2
0610009B22Rik	11631	12069	3
0610009B22Rik	8814	15006	1
0610009B22Rik	10938	14162	1
0610009B22Rik	9697	16745	3
0610009B22Rik	7037	18053	1
0610009B22Rik	12745	10961	1
0610009B22Rik	7313	12834	1
0610009B22Rik	11124	10023	1
0610009B22Rik	12025	11545	3
0610009B22Rik	11592	13502	1
0610009B22Rik	12023	8558	2
0610009B22Rik	12481	13796	2
0610009B22Rik	7430	13511	1
0610009B22Rik	7856	9253	2
0610009B22Rik	11854	9653	2
0610009B22Rik	10581	7210	3
0610009B22Rik	7986	18092	1
0610009B22Rik	7975	7882	2
0610009B22Rik	7427	11326	1
0610009B22Rik	9847	11796	1
0610009B22Rik	7414	11468	1
0610009B22Rik	5330	11649	1
0610009B22Rik	6141	13781	2
0610009B22Rik	5252	9688	1
0610009B22Rik	4868	11285	2
0610009B22Rik	6933	15232	3
0610009B22Rik	7096	16379	1
0610009B22Rik	7889	10384	1
0610009B22Rik	8661	9739	1
0610009B22Rik	10086	9102	1
0610009B22Rik	6368	14131	1
0610009B22Rik	8826	13904	2
0610009B22Rik	11107	10081	1
0610009B22Rik	11540	11555	1
0610009B22Rik	9621	7121	1
0610009B22Rik	12066	14578	1
0610009B22Rik	6069	8476	1
0610009B22Rik	12258	8977	2
0610009B22Rik	7809	15007	1
0610009B22Rik	7005	18242	1
